sku,name,type,regular_price,sale_price,stock_quantity,manage_stock,stock_status,category,published
AU01001001,ZEEKR Document Wallet,simple,13.03,8.69,2044,yes,instock,Acc.-Local,1
7011110035,ZEEKR AC CHARGER WITH GUN 7KW,simple,1535.38,1023.59,126,yes,instock,Home Charger,1
ZCZ-0000518,ZEEKR X Trunk Mat,simple,244.58,163.05,86,yes,instock,Acc.,1
ZCZ-0000502,ZEEKR X Sunshade Curtain,simple,176.09,117.39,12,yes,instock,Acc.,1
ZCZ-0000531,ZEEKR X Door Pocket Storage Boxes,simple,244.58,163.05,20,yes,instock,Acc.,1
ZCZ-0000544,ZEEKR X 4D Cloud Neck Pillow,simple,127.17,84.78,3,yes,instock,Acc.,1
ZCZ-0000545,ZEEKR X 4D Cloud Lumbar Support,simple,176.09,117.39,5,yes,instock,Acc.,1
ZFZ-0001206,Zeekr Uniform· Summer Pants Black L,simple,78.3,52.2,20,yes,instock,Uniform,1
ZFZ-0001207,Zeekr Uniform· Summer Pants Black XL,simple,78.3,52.2,39,yes,instock,Uniform,1
ZFZ-0001208,Zeekr Uniform· Summer Pants Black 2XL,simple,78.3,52.2,30,yes,instock,Uniform,1
ZFZ-0001190,Zeekr Uniform· Short-Sleeved POLO Black L,simple,58.73,39.15,12,yes,instock,Uniform,1
ZFZ-0001191,Zeekr Uniform· Short-Sleeved POLO Black XL,simple,58.73,39.15,24,yes,instock,Uniform,1
ZFZ-0001192,Zeekr Uniform· Short-Sleeved POLO Black 2XL,simple,58.73,39.15,17,yes,instock,Uniform,1
JQ691C66,E TYPE CLIP,simple,0.65,0.43,70,yes,instock,Uncategorized,1
8894900181,AC FILTER,simple,24.95,16.63,45,yes,instock,Uncategorized,1
8893647689,FORWARD LOOKING CAMERA (FLC),simple,697.3,464.87,7,yes,instock,Uncategorized,1
8893532448,EMBLEM,simple,27.7,18.46,38,yes,instock,Uncategorized,1
8894514372,PARK ASSIST CAMERA (PAC),simple,620.41,413.61,3,yes,instock,Uncategorized,1
8894514152,PARK ASSIST CAMERA (PAC),simple,620.41,413.61,15,yes,instock,Uncategorized,1
6608048467,RING,simple,6.05,4.04,79,yes,instock,Uncategorized,1
8889081697,TPMS SENSOR,simple,97.83,65.22,5,yes,instock,Uncategorized,1
